index,总字数,段落数,平均单词长度,名词占比,专有名词占比,动词占比,形容词占比,数词占比,代词占比,副词占比,语气词占比,连词占比,助词占比,量词占比,介词占比,存在,符号占比,平均句长,平均长句短句数,总句数,可读性
0,12,1,3.9166666666666665,0.25,0.16666666666666666,0.25,0.0,0.0,0.16666666666666666,0.08333333333333333,0.25,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.0,0.25,7.5,1.5,2,8.62
1,418,1,4.856459330143541,0.2894736842105263,0.07894736842105263,0.19138755980861244,0.09090909090909091,0.007177033492822967,0.050239234449760764,0.04784688995215311,0.19138755980861244,0.0430622009569378,0.0215311004784689,0.10526315789473684,0.145933014354067,0.004784688995215311,0.10287081339712918,24.263157894736842,2.1578947368421053,19,7.89
2,130,1,3.9384615384615387,0.24615384615384617,0.12307692307692308,0.2,0.08461538461538462,0.007692307692307693,0.09230769230769231,0.06153846153846154,0.2,0.046153846153846156,0.007692307692307693,0.12307692307692308,0.13076923076923078,0.0,0.11538461538461539,16.11111111111111,1.6666666666666667,9,6.82
3,36,1,4.416666666666667,0.3333333333333333,0.027777777777777776,0.1388888888888889,0.08333333333333333,0.0,0.0,0.05555555555555555,0.1388888888888889,0.027777777777777776,0.0,0.16666666666666666,0.19444444444444445,0.0,0.08333333333333333,19.5,1.5,2,7.6
4,29,1,5.0,0.2413793103448276,0.0,0.1724137931034483,0.1724137931034483,0.034482758620689655,0.06896551724137931,0.06896551724137931,0.1724137931034483,0.034482758620689655,0.0,0.06896551724137931,0.13793103448275862,0.0,0.10344827586206896,10.666666666666666,1.0,3,7.38
5,459,1,4.442265795206971,0.3355119825708061,0.16339869281045752,0.11328976034858387,0.08278867102396514,0.02832244008714597,0.026143790849673203,0.0718954248366013,0.11328976034858387,0.04139433551198257,0.006535947712418301,0.11328976034858387,0.16122004357298475,0.0,0.1437908496732026,18.75,2.357142857142857,28,7.44
6,107,1,5.093457943925234,0.27102803738317754,0.056074766355140186,0.14953271028037382,0.14953271028037382,0.018691588785046728,0.04672897196261682,0.056074766355140186,0.14953271028037382,0.028037383177570093,0.056074766355140186,0.09345794392523364,0.11214953271028037,0.018691588785046728,0.1308411214953271,17.285714285714285,2.0,7,8.96
7,25,1,5.04,0.48,0.12,0.2,0.12,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.08,13.5,1.0,2,10.17
8,4,1,5.0,0.25,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1,7.78
9,58,1,4.741379310344827,0.3275862068965517,0.034482758620689655,0.20689655172413793,0.017241379310344827,0.034482758620689655,0.06896551724137931,0.05172413793103448,0.20689655172413793,0.034482758620689655,0.034482758620689655,0.08620689655172414,0.13793103448275862,0.0,0.10344827586206896,21.333333333333332,2.0,3,8.41
